numeroCuenta,banco,moneda
34-6839-001-8,BISA S.A.,M/N
34-6839-002-6,BISA S.A.,M/N
34-6839-003-4,BISA S.A.,M/N
34-6839-004-2,BISA S.A.,M/N
34-6839-005-1,BISA S.A.,M/N
34-6839-006-9,BISA S.A.,M/N
34-6839-007-7,BISA S.A.,M/N
34-6839-008-5,BISA S.A.,M/N
34-6839-009-3,BISA S.A.,M/N
34-6839-010-7,BISA S.A.,M/N
34-6839-011-5,BISA S.A.,M/N
34-6839-012-3,BISA S.A.,M/N
34-6839-013-1,BISA S.A.,M/N
34-6839-014-0,BISA S.A.,M/N
34-6839-016-6,BISA S.A.,M/N
34-6839-017-4,BISA S.A.,M/N
34-6839-018-2,BISA S.A.,M/N
34-6839-019-1,BISA S.A.,M/N
34-6839-020-4,BISA S.A.,M/N
